codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,total_recomendacoes,ocorrencia_dia_hora,regiao
79168,79168,INCIDENTE,CAMPINAS,SP,SBKP,0,2020-01-31 01:42:00,SUDESTE
79094,79094,INCIDENTE,PALMAS,TO,SBPJ,0,2020-02-01 14:00:00,NORTE
79169,79169,INCIDENTE,CAMPINAS,SP,NA,0,2020-02-01 02:12:00,SUDESTE
79180,79180,ACIDENTE,TEÓFILO OTONI,MG,NA,0,2020-02-01 20:52:00,SUDESTE
79267,79267,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,0,2020-02-01 15:41:00,SUL
79110,79110,ACIDENTE,CAROLINA,MA,NA,0,2020-02-03 19:00:00,NORTEDESTE
79226,79226,INCIDENTE,SÃO PAULO,SP,SBSP,0,2020-02-03 21:03:00,SUDESTE
79331,79331,INCIDENTE,PONTES E LACERDA,MT,NA,0,2020-02-03 00:00:00,CENTRO
79107,79107,ACIDENTE,AMAJARI,RR,NA,0,2020-02-04 18:00:00,NORTE
79111,79111,ACIDENTE,SANTO ÂNGELO,RS,SBNM,4,2020-02-04 20:30:00,SUL
79127,79127,ACIDENTE,SANTARÉM,PA,NA,0,2020-02-06 20:50:00,NORTE
79170,79170,INCIDENTE,CAMPINAS,SP,NA,0,2020-02-06 13:08:00,SUDESTE
79171,79171,INCIDENTE,TRÊS MARIAS,MG,SIBO,0,2020-02-06 18:00:00,SUDESTE
79128,79128,ACIDENTE,COROMANDEL,MG,NA,1,2020-02-07 19:10:00,SUDESTE
79172,79172,INCIDENTE,CAMPINAS,SP,NA,0,2020-02-07 03:20:00,SUDESTE
79129,79129,ACIDENTE,ITARIRI,SP,NA,2,2020-02-08 12:00:00,SUDESTE
79173,79173,INCIDENTE,GUARULHOS,SP,NA,0,2020-02-08 14:30:00,SUDESTE
79115,79115,ACIDENTE,URUAÇU,GO,NA,0,2020-02-10 21:35:00,CENTRO
79269,79269,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2020-02-10 02:00:00,SUDESTE
79131,79131,ACIDENTE,ÁGUA BOA,MT,NA,2,2020-02-12 11:20:00,CENTRO
79175,79175,INCIDENTE,PORTO ALEGRE,RS,SBPA,0,2020-02-12 13:48:00,SUL
79137,79137,INCIDENTE GRAVE,GOIÂNIA,GO,NA,0,2020-02-14 18:47:00,CENTRO
79176,79176,INCIDENTE GRAVE,JACAREZINHO,PR,NA,0,2020-02-14 15:10:00,SUL
79177,79177,INCIDENTE,PORTO ALEGRE,RS,NA,0,2020-02-14 15:41:00,SUL
79138,79138,INCIDENTE GRAVE,RIO VERDE,GO,NA,0,2020-02-15 13:20:00,CENTRO
79270,79270,INCIDENTE,RIO DE JANEIRO,RJ,NA,0,2020-02-16 20:08:00,SUDESTE
79464,79464,INCIDENTE,SÃO GONÇALO DO AMARANTE,RN,SBSG,0,2020-02-16 01:30:00,NORTEDESTE
79178,79178,INCIDENTE GRAVE,RIO DE JANEIRO,RJ,SBJR,0,2020-02-17 19:33:00,SUDESTE
79196,79196,ACIDENTE,INACIOLÂNDIA,GO,NA,0,2020-02-17 11:20:00,CENTRO
79261,79261,INCIDENTE,CAMPINAS,SP,NA,0,2020-02-17 10:44:00,SUDESTE
79186,79186,INCIDENTE GRAVE,RIO VERDE,GO,NA,0,2020-02-18 11:40:00,CENTRO
79198,79198,ACIDENTE,PATROCÍNIO,MG,NA,2,2020-02-19 16:15:00,SUDESTE
79206,79206,ACIDENTE,GUARAPARI,ES,SNGA,1,2020-02-19 18:50:00,SUDESTE
79185,79185,INCIDENTE,MANAUS,AM,NA,0,2020-02-20 12:24:00,NORTE
79195,79195,ACIDENTE,PORTO VELHO,RO,NA,1,2020-02-20 14:45:00,NORTE
79201,79201,INCIDENTE,QUERÊNCIA,MT,NA,0,2020-02-20 20:00:00,CENTRO
79221,79221,INCIDENTE,JUNDIAÍ,SP,SBJD,0,2020-02-20 15:30:00,SUDESTE
79183,79183,INCIDENTE GRAVE,CURITIBA,PR,SBBI,0,2020-02-22 15:20:00,SUL
79184,79184,INCIDENTE,SÃO FÉLIX DO ARAGUAIA,MT,NA,0,2020-02-23 13:00:00,CENTRO
79241,79241,INCIDENTE,NOVA ANDRADINA,MS,SDVK,0,2020-02-24 15:25:00,CENTRO
79199,79199,ACIDENTE,PARACATU,MG,NA,1,2020-02-25 10:30:00,SUDESTE
79222,79222,INCIDENTE,LONDRINA,PR,SBLO,0,2020-02-25 16:08:00,SUL
79223,79223,ACIDENTE,GUARUJÁ,SP,NA,0,2020-02-25 13:50:00,SUDESTE
79224,79224,INCIDENTE,PIRACICABA,SP,SDPW,0,2020-02-25 02:10:00,SUDESTE
79255,79255,INCIDENTE,MACEIÓ,AL,NA,0,2020-02-26 08:30:00,NORTEDESTE
79291,79291,INCIDENTE,SALVADOR,BA,NA,0,2020-02-26 22:06:00,NORTEDESTE
